death to spies: moment of truth	The Most Mysterious Secret Service Agency of WWII This is a third-person stealth-action game describing the activities of the SMERSH, the most mysterious secret service agency of World War II. Moment of Truth is a sequel to the popular stealth action title Death to Spies.	['Action', 'Stealth', 'World War II', 'Third Person', 'Shooter', 'Singleplayer', 'Atmospheric']	['Single-player', 'Steam Cloud']
sudoku	How does Thermo Sudoku work? Each sudoku grid contains thermometer shapes (often drawn to create themes) and digits on thermometers must increase as one moves further from the bulb end.	['Indie', 'Casual', 'Strategy', 'Puzzle', 'Board Game']	['Single-player']
jigsaw puzzle	Arrange the town islands and see them come to life. Just swap the blocks of a 3D jigsaw puzzle.	['Puzzle', 'Point & Click', 'Hidden Object', 'Casual', 'City Builder', 'Tabletop', 'Board Game', 'Relaxing', 'Solitaire', 'Cute', 'Cozy', 'Wholesome', 'Minimalist', 'LEGO', 'Colorful', 'Trains', 'Building', 'Singleplayer', '3D', 'Indie']	['Single-player', 'Steam Achievements', 'Steam Cloud']
anomaly: warzone earth	Lead an armored squad through the perils of this reversed tower defense action-strategy game!	['Strategy', 'Indie', 'Tower Defense', 'Action', 'Sci-fi', 'Singleplayer', 'Touch-Friendly', 'RTS', 'Top-Down', 'Aliens', 'Difficult', 'Arcade']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
daedalic adventure bundle		[]	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet']
ghost 1.0	A mysterious agent, capable of becoming a digital ghost, sneaks aboard the Nakamura Space Station. This is where the fun begins: the station is well-protected with its heavy defences, never-ending arsenal of weapons, and mysterious artifacts. It will all have to be destroyed.	['Metroidvania', 'Indie', 'Action', 'Roguevania', 'Female Protagonist', 'Adventure', 'Cyberpunk', 'Platformer', '2D', 'Sci-fi', 'Singleplayer', 'Side Scroller', 'Robots', 'Anime', 'Roguelike', 'Comedy', 'Difficult']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']
coffee shop tycoon	Manage your own coffee shop and control every detail to make it the most popular one in town! Roast your own beans and create your recipes. Hire and train your staff, manage your economy and marketing, and destroy your competition to become the ultimate legal coffee monopoly in Coffee Shop Tycoon.	['Simulation', 'Management', 'Casual', 'Strategy', 'Indie']	['Single-player', 'Steam Achievements', 'Steam Cloud']
asterix & obelix xxl 2	Asterix & Obelix XXL 2 brings the experience of the original game to an unparalleled level. The enhanced graphics pay tribute to the comic books and the gameplay has been totally redesigned to make fighting the Romans even more fun!	['Adventure', 'Action', "Beat 'em up", '3D Platformer', 'Singleplayer', 'Funny', 'Comedy', 'Classic', 'Co-op']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on TV']
frontline	Fight your way through 35 Unique WW2 battles - Aim your targets carefully, counter-attack, and strategically coordinate your Squads. The study of enemy tactics and the use of Special abilities will lead to victory!	['Grand Strategy', 'Turn-Based Tactics', 'Tactical RPG', 'Wargame', 'Sandbox', 'Turn-Based', 'Difficult', 'Board Game', 'Strategy RPG', 'Tabletop', 'Turn-Based Strategy', 'Tanks', 'World War I', 'Strategy', 'War', '2.5D', 'Military', 'World War II', 'Turn-Based Combat', 'Naval Combat']	['Single-player']
world end economica episode.03	The conclusive episode in this visual novel trilogy is set in the far future on the moon. Will Hal's dream be realized? It's been 8 years since the events of episode.01. With the economics of lunar city going out of control what is going to happen next?	['Indie', 'Casual', 'Visual Novel', 'Sci-fi', 'Anime', 'Story Rich', 'Great Soundtrack', 'Episodic', 'Economy', 'Linear', 'Crowdfunded']	['Single-player', 'Steam Trading Cards']
warhammer 40,000: armageddon 	In Warhammer 40,000: Armageddon - Da Orks, a new turn-based strategy game, players will lead the Orks against the Imperial forces of the Armageddon Steel Legion and Space Marines from a variety of Chapters, under a scorching sun, through hostile ash wastes, and in the shadows of gigantic Hive Cities.	['Strategy', 'Warhammer 40K', 'Games Workshop', 'Turn-Based Strategy', 'Turn-Based']	['Single-player', 'Cross-Platform Multiplayer', 'Includes level editor']
